"","participant","organism","condition","acceleration","trial.num","raw.points","rectangles.cleared","deaths","log.block","block","switch.type","varied","experiment","switch.faster","switch.slower"
"106","A11P1OS26E6AMO","human","HLHLM",0.4,34,1075,51,2,1.6094379124341,5,0.2,1,1,0.2,0
"107","A11P1OS26E6AMO","human","HLHLM",0.4,35,850,50,4,1.6094379124341,5,0.2,1,1,0.2,0
"108","A11P1OS26E6AMO","human","HLHLM",0.4,36,1050,54,3,1.6094379124341,5,0.2,1,1,0.2,0
"109","A11P1OS26E6AMO","human","HLHLM",0.4,37,900,56,5,1.6094379124341,5,0.2,1,1,0.2,0
"110","A11P1OS26E6AMO","human","HLHLM",0.4,38,1200,56,2,1.6094379124341,5,0.2,1,1,0.2,0
"111","A11P1OS26E6AMO","human","HLHLM",0.4,39,1325,57,1,1.6094379124341,5,0.2,1,1,0.2,0
"112","A11P1OS26E6AMO","human","HLHLM",0.6,22,400,36,5,1.09861228866811,3,0.4,1,1,0.4,0
"113","A11P1OS26E6AMO","human","HLHLM",0.4,40,1025,53,3,1.6094379124341,5,0.2,1,1,0.2,0
"114","A11P1OS26E6AMO","human","HLHLM",0.6,23,400,36,5,1.09861228866811,3,0.4,1,1,0.4,0
"115","A11P1OS26E6AMO","human","HLHLM",0.6,24,650,42,4,1.09861228866811,3,0.4,1,1,0.4,0
"116","A11P1OS26E6AMO","human","HLHLM",0.2,25,900,36,0,1.38629436111989,4,-0.4,1,1,0,-0.4
"117","A11P1OS26E6AMO","human","HLHLM",0.2,26,725,49,5,1.38629436111989,4,-0.4,1,1,0,-0.4
"118","A11P1OS26E6AMO","human","HLHLM",0.2,27,1225,53,1,1.38629436111989,4,-0.4,1,1,0,-0.4
"119","A11P1OS26E6AMO","human","HLHLM",0.2,28,850,50,4,1.38629436111989,4,-0.4,1,1,0,-0.4
"120","A11P1OS26E6AMO","human","HLHLM",0.2,29,1125,53,2,1.38629436111989,4,-0.4,1,1,0,-0.4
"121","A1299WL9DI3TEF","human","HLHLM",0.6,1,-200,32,10,0,1,0,1,1,0,0
"122","A1299WL9DI3TEF","human","HLHLM",0.2,10,850,38,1,0.693147180559945,2,-0.4,1,1,0,-0.4
"123","A1299WL9DI3TEF","human","HLHLM",0.2,11,825,41,2,0.693147180559945,2,-0.4,1,1,0,-0.4
"124","A1299WL9DI3TEF","human","HLHLM",0.2,12,725,37,2,0.693147180559945,2,-0.4,1,1,0,-0.4
"125","A1299WL9DI3TEF","human","HLHLM",0.2,13,750,42,3,0.693147180559945,2,-0.4,1,1,0,-0.4
"126","A1299WL9DI3TEF","human","HLHLM",0.2,14,1000,44,1,0.693147180559945,2,-0.4,1,1,0,-0.4
"127","A1299WL9DI3TEF","human","HLHLM",0.2,15,1000,44,1,0.693147180559945,2,-0.4,1,1,0,-0.4
"128","A1299WL9DI3TEF","human","HLHLM",0.2,16,1025,45,1,0.693147180559945,2,-0.4,1,1,0,-0.4
"129","A1299WL9DI3TEF","human","HLHLM",0.6,17,625,49,6,1.09861228866811,3,0.4,1,1,0.4,0
"130","A1299WL9DI3TEF","human","HLHLM",0.6,18,725,45,4,1.09861228866811,3,0.4,1,1,0.4,0
"131","A1299WL9DI3TEF","human","HLHLM",0.6,19,875,51,4,1.09861228866811,3,0.4,1,1,0.4,0
"132","A1299WL9DI3TEF","human","HLHLM",0.6,2,600,28,1,0,1,0,1,1,0,0
"133","A1299WL9DI3TEF","human","HLHLM",0.6,20,650,50,6,1.09861228866811,3,0.4,1,1,0.4,0
"134","A1299WL9DI3TEF","human","HLHLM",0.6,3,475,27,2,0,1,0,1,1,0,0
"135","A1299WL9DI3TEF","human","HLHLM",0.6,4,600,32,2,0,1,0,1,1,0,0
"136","A1299WL9DI3TEF","human","HLHLM",0.6,5,850,34,0,0,1,0,1,1,0,0
"137","A1299WL9DI3TEF","human","HLHLM",0.6,6,800,36,1,0,1,0,1,1,0,0
"138","A1299WL9DI3TEF","human","HLHLM",0.6,7,700,36,2,0,1,0,1,1,0,0
"139","A1299WL9DI3TEF","human","HLHLM",0.6,8,850,34,0,0,1,0,1,1,0,0
"140","A1299WL9DI3TEF","human","HLHLM",0.2,9,850,38,1,0.693147180559945,2,-0.4,1,1,0,-0.4
"141","A1299WL9DI3TEF","human","HLHLM",0.6,21,575,47,6,1.09861228866811,3,0.4,1,1,0.4,0
"142","A1299WL9DI3TEF","human","HLHLM",0.2,30,900,52,4,1.38629436111989,4,-0.4,1,1,0,-0.4
"143","A1299WL9DI3TEF","human","HLHLM",0.2,31,650,46,5,1.38629436111989,4,-0.4,1,1,0,-0.4
"144","A1299WL9DI3TEF","human","HLHLM",0.2,32,875,47,3,1.38629436111989,4,-0.4,1,1,0,-0.4
"145","A1299WL9DI3TEF","human","HLHLM",0.4,33,900,52,4,1.6094379124341,5,0.2,1,1,0.2,0
